path	license_class	spdx	copyright	flags	binary
.clang-format	unknown-license				no
.dockerignore	unknown-license				no
.envrc	unknown-license				no
.gitattributes	unknown-license				no
.github/CODEOWNERS	unknown-license				no
.github/ISSUE_TEMPLATE.md	unknown-license				no
.github/clang-include-cleaner.json	unknown-license				no
.github/clang-matcher.json	unknown-license				no
.github/mergify.yml	unknown-license				no
.github/pull_request_template.md	unknown-license				no
.github/scripts/auto-backport.py	unknown-license				no
.github/scripts/ci-changes.sh	Apache-only	Apache-2.0			no
.github/scripts/clang-tidy-changed.sh	Apache-only	Apache-2.0			no
.github/scripts/clang-tidy-nix.sh	dual-licensed	AGPL-3.0-or-later OR Apache-2.0			no
.github/scripts/label_promoted_commits.py	unknown-license				no
.github/scripts/sync_labels.py	unknown-license				no
.github/workflows/auto-release-pr.yml	Apache-only	Apache-2.0			no
.github/workflows/build-ssdb.yaml	unknown-license				no
.github/workflows/clang-nightly.yaml	unknown-license				no
.github/workflows/clang-tidy.yaml	unknown-license				no
.github/workflows/codespell.yaml	unknown-license				no
.github/workflows/commits.yml	unknown-license				no
.github/workflows/iwyu.yaml	unknown-license				no
.github/workflows/pr-builds.yml	Apache-only	Apache-2.0			no
.github/workflows/release-artifacts.yaml	Apache-only	Apache-2.0			no
.github/workflows/release-tag.yml	Apache-only	Apache-2.0			no
.github/workflows/reproducible-build.yaml	unknown-license				no
.github/workflows/seastar.yaml	unknown-license				no
.github/workflows/ssdb-pr.yaml	unknown-license				no
.gitignore	unknown-license				no
.gitmodules	unknown-license				no
.gitorderfile	unknown-license				no
.mailmap	unknown-license				no
AGENTS.md	unknown-license				no
CHANGELOG.md	Apache-only	Apache-2.0			no
CLAUDE.md	unknown-license				no
CMakeLists.txt	unknown-license				no
CONTRIBUTING.md	unknown-license				no
Doxyfile	unknown-license			generated	no
HACKING.md	unknown-license				no
LICENSE	unknown-license				no
